_id,Tipo,nombreAlojamiento,Zona,Nhab,Servicios,Fechas,Valoracion,Evaluaciones,Noche,Total
6581ffbe7d4586d80596abf3,Alojamiento entero: piso,Barcelona Marta´s Flat 2 - FC Barcelona HUTB017186,L'Hospitalet de Llobregat,3 huéspedes · 2 dormitorios · 3 camas · 1 baño,Wifi · Cocina · Lavadora · Aire acondicionado,10 dic. – 12 dic.,"4,56", (103 evaluaciones),71 €,141€ en total
6581ffbe7d4586d80596abf4,Habitación de hotel boutique,"Habitación Doble Exterior, baño privado y balcón",Eixample,2 huéspedes · 1 dormitorio · 1 cama · 1 baño privado,Wifi · Aire acondicionado,17 dic. – 19 dic.,"4,56", (9 evaluaciones),87 €,174€ en total
6581ffbe7d4586d80596abf5,Habitación privada,Luxury room with private bathroom 2,Sant Pere-Santa Caterina i la Ribera,3 huéspedes · 1 dormitorio · 1 baño privado,Wifi · Cocina · Lavadora,10 dic. – 12 dic.,"4,53", (15 evaluaciones),76 €,151€ en total
6581ffbe7d4586d80596abf6,Habitación privada,Hostal Ola Living Diagonal 11,Sarrià-Sant Gervasi,2 huéspedes · Estudio · 1 baño,Wifi · Aire acondicionado,3 dic. – 5 dic.,"4,5", (4 evaluaciones),74 €,147€ en total
6581ffbe7d4586d80596abf7,Alojamiento entero: piso,Apartamento SAGRADA FAMILIA - free WIFI - NETFLIX,Sant Marti,5 huéspedes · 2 dormitorios · 2 camas · 1 baño,Wifi · Cocina · Lavadora · Aire acondicionado,17 dic. – 19 dic.,"4,23", (344 evaluaciones),110 €,220€ en total
6581ffbe7d4586d80596abf8,Alojamiento entero: loft,Estudio&terraza/mágicas vistas,Eixample,2 huéspedes · 1 dormitorio · 2 camas · 1 baño,Wifi · Cocina · Lavadora · Aire acondicionado,24 dic. – 26 dic.,"4,92", (441 evaluaciones),154 €,307€ en total
6581ffbe7d4586d80596abf9,Habitación privada,"Casa,Coris (gata) Conxa ,Prat,playas ,Fira,centro",L'Hospitalet de Llobregat,1 huésped · 1 dormitorio · 1 cama · 1 baño compartido,Wifi · Cocina,24 dic. – 26 dic.,"4,63", (156 evaluaciones),26 €,52€ en total
6581ffbe7d4586d80596abfa,Habitación privada,Beautiful Room in GRAN VÍA next Pl. España,La Font de la Guatlla,2 huéspedes · 1 dormitorio · 1 cama · 1 baño privado,Wifi · Cocina · Aire acondicionado,3 dic. – 5 dic.,"4,83", (133 evaluaciones),64 €,128€ en total
6581ffbe7d4586d80596abfb,Habitación privada,"El Faro, habitacion privada 2",Distrito de Horta-Guinardó,2 huéspedes · 1 dormitorio · 2 camas · 1 baño compartido,Wifi · Cocina · Lavadora,31 dic. – 2 ene.,"4,48", (86 evaluaciones),38 €,76€ en total
6581ffbe7d4586d80596abfc,Alojamiento entero: piso,Tranquilo apartamento zona de moda y cerca centro,El Poble Sec,2 huéspedes · 1 dormitorio · 1 cama · 1 baño,Wifi · Cocina · Lavadora · Aire acondicionado,17 dic. – 19 dic.,"4,73", (213 evaluaciones),98 €,195€ en total
